GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
text_dungeon,com.seminara.text_dungeon.dungeon,Deserto,0,25,0,2,0,4,0,3,0,2
text_dungeon,com.seminara.text_dungeon.dungeon,Bosco,0,25,0,2,0,4,0,3,0,2
text_dungeon,com.seminara.text_dungeon.dungeon,Dungeon,0,43,0,0,0,7,0,3,0,3
text_dungeon,com.seminara.text_dungeon.dungeon,Dungeon.TipoNemico,0,34,0,0,0,1,0,1,0,1
text_dungeon,com.seminara.text_dungeon.partita,Regole,38,0,0,0,14,0,3,0,3,0
text_dungeon,com.seminara.text_dungeon.partita,Livello1,11,0,0,0,4,0,2,0,2,0
text_dungeon,com.seminara.text_dungeon.partita,Livello2,8,0,0,0,3,0,2,0,2,0
text_dungeon,com.seminara.text_dungeon.partita,Start,31,0,0,0,13,0,4,0,4,0
text_dungeon,com.seminara.text_dungeon.partita,Partita,264,0,12,0,57,0,17,0,11,0
text_dungeon,com.seminara.text_dungeon.partita,Game,40,0,0,0,8,0,3,0,3,0
text_dungeon,com.seminara.text_dungeon.sfida,Battaglia,28,0,0,0,3,0,2,0,2,0
text_dungeon,com.seminara.text_dungeon.sfida,SfidaAssalto,13,0,0,0,5,0,5,0,5,0
text_dungeon,com.seminara.text_dungeon.sfida,SfidaDifesa,13,0,0,0,5,0,5,0,5,0
text_dungeon,com.seminara.text_dungeon.sfida,SfidaAttacco,13,0,0,0,5,0,5,0,5,0
text_dungeon,com.seminara.text_dungeon.stato_personaggio,GeneraStato,0,17,0,0,0,2,0,2,0,2
text_dungeon,com.seminara.text_dungeon.stato_personaggio,Assalto,0,9,0,0,0,3,0,3,0,3
text_dungeon,com.seminara.text_dungeon.stato_personaggio,Difesa,0,9,0,0,0,3,0,3,0,3
text_dungeon,com.seminara.text_dungeon.stato_personaggio,Attacco,0,7,0,0,0,3,0,3,0,3
text_dungeon,com.seminara.text_dungeon.pietra,PietraBianca,0,20,0,4,0,6,0,6,0,4
text_dungeon,com.seminara.text_dungeon.pietra,PietraNera,0,20,0,4,0,6,0,6,0,4
text_dungeon,com.seminara.text_dungeon.pietra,PietraGrigia,0,7,0,0,0,3,0,3,0,3
text_dungeon,com.seminara.text_dungeon.pietra,GeneraPietra,0,99,2,14,0,17,2,15,0,9
text_dungeon,com.seminara.text_dungeon,App,35,0,2,0,11,0,3,0,2,0
text_dungeon,com.seminara.text_dungeon.nemico,Chimera,0,15,0,0,0,6,0,1,0,1
text_dungeon,com.seminara.text_dungeon.nemico,Nemico,0,61,0,2,0,11,0,9,0,8
text_dungeon,com.seminara.text_dungeon.nemico,Ciclope,0,15,0,0,0,6,0,1,0,1
text_dungeon,com.seminara.text_dungeon.nemico,Strega,0,15,0,0,0,6,0,1,0,1
text_dungeon,com.seminara.text_dungeon.nemico,Goblin,0,15,0,0,0,6,0,1,0,1
text_dungeon,com.seminara.text_dungeon.giocatore,Giocatore,0,65,0,4,0,19,0,13,0,11
text_dungeon,com.seminara.text_dungeon.armeria,Mannaia,0,19,0,0,0,7,0,1,0,1
text_dungeon,com.seminara.text_dungeon.armeria,GeneraArma,0,54,0,2,0,7,0,7,0,6
text_dungeon,com.seminara.text_dungeon.armeria,Spada,0,19,0,0,0,7,0,1,0,1
text_dungeon,com.seminara.text_dungeon.armeria,Ascia,0,19,0,0,0,7,0,1,0,1
text_dungeon,com.seminara.text_dungeon.armeria,Arma,0,43,0,0,0,5,0,5,0,5
